     78.12 1.202068e+03 5.102041e+02 1.017247e+03 2.162700e-02
    117.19 1.450677e+03 6.339814e+02 1.252467e+03 2.634800e-02
    156.25 1.489924e+03 6.692321e+02 1.303125e+03 3.376500e-02
    195.31 1.416431e+03 6.443299e+02 1.247250e+03 4.409700e-02
    292.97 1.080054e+03 4.950495e+02 9.595366e+02 8.597900e-02
    390.62 1.484803e+03 6.873325e+02 1.327893e+03 8.283800e-02
    781.25 1.474480e+03 6.922811e+02 1.328085e+03 1.656520e-01
   1562.50 1.478869e+03 6.471968e+02 1.317795e+03 3.338910e-01
   3125.00 1.499515e+03 6.250049e+02 1.326918e+03 6.631910e-01
   7812.50 1.495377e+03 6.240970e+02 1.325542e+03 1.659698e+00
  15625.00 1.504572e+03 6.103171e+02 1.326964e+03 3.315841e+00
  31250.00 1.390839e+03 3.639760e+02 1.106648e+03 7.951943e+00
  46875.00 1.354675e+03 3.180210e+02 1.044834e+03 1.263358e+01
  62500.00 1.330709e+03 2.994540e+02 1.013306e+03 1.736889e+01
 117187.50 1.321499e+03 2.836107e+02 9.915387e+02 3.328160e+01
