     64.45 1.329080e+03 5.659310e+02 1.125032e+03 1.955500e-02
     96.68 1.458506e+03 6.459948e+02 1.263158e+03 2.612500e-02
    128.91 1.490757e+03 6.717045e+02 1.304438e+03 3.373100e-02
    161.13 1.470588e+03 6.690753e+02 1.297262e+03 4.239700e-02
    241.70 1.467538e+03 6.762849e+02 1.305400e+03 6.319900e-02
    322.27 1.471779e+03 6.823144e+02 1.316561e+03 8.355100e-02
    644.53 1.479027e+03 6.932649e+02 1.332259e+03 1.651330e-01
   1289.06 1.489808e+03 7.023952e+02 1.346752e+03 3.267120e-01
   2578.12 1.487937e+03 7.042687e+02 1.348273e+03 6.526870e-01
   6445.31 1.502214e+03 7.121188e+02 1.363125e+03 1.613939e+00
  12890.62 1.495786e+03 7.103685e+02 1.358303e+03 3.239335e+00
  25781.25 1.497012e+03 7.092878e+02 1.359298e+03 6.473932e+00
  38671.88 1.501640e+03 7.084139e+02 1.362622e+03 9.687209e+00
  51562.50 1.494005e+03 6.808844e+02 1.347489e+03 1.306134e+01
  96679.69 1.505828e+03 6.659860e+02 1.350834e+03 2.442935e+01
