     1.898    632.331 # matmult_blk 7
     3.375    948.801 # matmult_blk 7
     7.594   1210.794 # matmult_blk 7
    14.648   1309.283 # matmult_blk 7
    30.375   1350.334 # matmult_blk 7
    60.961   1356.161 # matmult_blk 7
   124.898   1386.366 # matmult_blk 7
   248.648   1400.613 # matmult_blk 7
   499.594   1392.899 # matmult_blk 7
   994.594   1384.686 # matmult_blk 7
  1998.375   1384.764 # matmult_blk 7
  3997.711   1394.194 # matmult_blk 7
  7993.500   1382.577 # matmult_blk 7
 15990.844   1402.273 # matmult_blk 7
 31974.000   1368.256 # matmult_blk 7
 63963.375   1394.908 # matmult_blk 7
127896.000   1324.986 # matmult_blk 7
255853.500   1370.847 # matmult_blk 7
